id,time,diff,file
1,4.75,1.0000,cand_001_004.75s.jpg
2,18.75,0.0033,cand_002_018.75s.jpg
3,21.00,0.0027,cand_003_021.00s.jpg
4,24.00,0.0043,cand_004_024.00s.jpg
5,26.00,0.0268,cand_005_026.00s.jpg
6,26.50,0.0311,cand_006_026.50s.jpg
7,27.25,0.0203,cand_007_027.25s.jpg
8,28.50,0.0607,cand_008_028.50s.jpg
9,29.50,0.0234,cand_009_029.50s.jpg
10,29.75,0.0199,cand_010_029.75s.jpg
11,30.00,0.0182,cand_011_030.00s.jpg
12,42.25,0.0197,cand_012_042.25s.jpg
13,44.00,0.0234,cand_013_044.00s.jpg
14,44.25,0.0230,cand_014_044.25s.jpg
15,44.50,0.0270,cand_015_044.50s.jpg
16,44.75,0.0248,cand_016_044.75s.jpg
17,45.00,0.0297,cand_017_045.00s.jpg
18,45.25,0.0250,cand_018_045.25s.jpg
19,45.50,0.0232,cand_019_045.50s.jpg
20,46.00,0.0211,cand_020_046.00s.jpg
21,48.25,0.0123,cand_021_048.25s.jpg
22,50.50,0.0063,cand_022_050.50s.jpg
23,51.75,0.0555,cand_023_051.75s.jpg
24,52.00,0.0592,cand_024_052.00s.jpg
25,55.00,0.0131,cand_025_055.00s.jpg
26,66.50,0.0061,cand_026_066.50s.jpg
27,73.25,0.0229,cand_027_073.25s.jpg
28,73.50,0.0342,cand_028_073.50s.jpg
29,73.75,0.0828,cand_029_073.75s.jpg
30,74.00,0.0822,cand_030_074.00s.jpg
31,74.25,0.0582,cand_031_074.25s.jpg
32,74.50,0.0285,cand_032_074.50s.jpg
33,74.75,0.0186,cand_033_074.75s.jpg
34,75.00,0.0283,cand_034_075.00s.jpg
35,75.25,0.0219,cand_035_075.25s.jpg
36,75.50,0.0195,cand_036_075.50s.jpg
37,75.75,0.0195,cand_037_075.75s.jpg
38,76.00,0.0182,cand_038_076.00s.jpg
39,77.50,0.0318,cand_039_077.50s.jpg
40,77.75,0.0203,cand_040_077.75s.jpg
41,78.25,0.0584,cand_041_078.25s.jpg
42,78.50,0.0426,cand_042_078.50s.jpg
43,78.75,0.0383,cand_043_078.75s.jpg
44,79.00,0.0250,cand_044_079.00s.jpg
45,81.25,0.0029,cand_045_081.25s.jpg
46,82.50,0.0418,cand_046_082.50s.jpg
47,83.75,0.0221,cand_047_083.75s.jpg
48,86.00,0.0104,cand_048_086.00s.jpg
49,87.75,0.0227,cand_049_087.75s.jpg
50,88.00,0.0182,cand_050_088.00s.jpg
51,88.25,0.1760,cand_051_088.25s.jpg
52,89.00,0.0279,cand_052_089.00s.jpg
53,89.25,0.0357,cand_053_089.25s.jpg
54,89.50,0.0496,cand_054_089.50s.jpg
55,89.75,0.0459,cand_055_089.75s.jpg
56,90.00,0.1217,cand_056_090.00s.jpg
57,90.50,0.0613,cand_057_090.50s.jpg
58,91.00,0.0344,cand_058_091.00s.jpg
59,91.50,0.0535,cand_059_091.50s.jpg
60,91.75,0.0959,cand_060_091.75s.jpg
61,92.00,0.2188,cand_061_092.00s.jpg
62,92.25,0.0727,cand_062_092.25s.jpg
63,92.50,0.0703,cand_063_092.50s.jpg
64,92.75,0.0418,cand_064_092.75s.jpg
65,93.00,0.0332,cand_065_093.00s.jpg
66,93.25,0.1504,cand_066_093.25s.jpg
67,95.00,0.1301,cand_067_095.00s.jpg
68,96.50,0.1455,cand_068_096.50s.jpg
69,97.00,0.0182,cand_069_097.00s.jpg
70,97.25,0.1984,cand_070_097.25s.jpg
71,97.75,0.0191,cand_071_097.75s.jpg
72,98.00,0.0223,cand_072_098.00s.jpg
73,98.50,0.0383,cand_073_098.50s.jpg
74,98.75,0.0227,cand_074_098.75s.jpg
75,99.75,0.1867,cand_075_099.75s.jpg
76,102.00,0.0160,cand_076_102.00s.jpg
77,102.25,0.0270,cand_077_102.25s.jpg
78,102.50,0.0287,cand_078_102.50s.jpg
79,102.75,0.0248,cand_079_102.75s.jpg
80,103.00,0.0242,cand_080_103.00s.jpg
81,103.25,0.0184,cand_081_103.25s.jpg
82,104.25,0.0207,cand_082_104.25s.jpg
83,104.50,0.0205,cand_083_104.50s.jpg
84,104.75,0.0270,cand_084_104.75s.jpg
85,105.00,0.0244,cand_085_105.00s.jpg
86,105.50,0.2721,cand_086_105.50s.jpg
87,106.75,0.2654,cand_087_106.75s.jpg
88,107.50,0.0418,cand_088_107.50s.jpg
89,108.25,0.0604,cand_089_108.25s.jpg
90,108.50,0.0533,cand_090_108.50s.jpg
91,108.75,0.0371,cand_091_108.75s.jpg
92,109.00,0.0373,cand_092_109.00s.jpg
93,109.75,0.0240,cand_093_109.75s.jpg
94,110.00,0.0207,cand_094_110.00s.jpg
